Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
2376,2023-06-06,2023-06-27,195.11,220.84,0.1241,🟡 移動停利,13,227.37,220.84
2368,2023-06-06,2023-06-27,127.9,128.96,0.0014,🟡 移動停利,13,149.06,128.96
2618,2023-06-06,2023-06-27,31.21,34.4,0.0947,🟡 移動停利,13,35.31,34.4
2382,2023-06-06,2023-06-27,107.32,129.8,0.2012,🟡 移動停利,13,125.9,129.8
2204,2023-06-07,2023-06-27,85.12,76.78,-0.1042,🟡 移動停利,12,99.02,76.78
2383,2023-06-09,2023-06-27,223.69,214.7,-0.0467,🟡 移動停利,10,258.91,214.7
1519,2023-06-06,2023-06-28,124.33,120.48,-0.0377,🟡 移動停利,14,151.4,120.48
3443,2023-06-07,2023-06-28,1419.78,1505.25,0.053,🟡 移動停利,13,1692.67,1505.25
3231,2023-06-06,2023-06-29,65.44,76.97,0.1682,⚪ 時間到期,15,77.87,70.86
3661,2023-06-06,2023-06-29,1592.07,1761.23,0.0987,⚪ 時間到期,15,1890.65,1652.68
3706,2023-06-28,2023-07-06,31.39,31.02,-0.0188,🟡 移動停利,6,36.59,31.02
3017,2023-06-27,2023-07-07,238.15,261.91,0.0922,🟡 移動停利,8,279.45,261.91
2382,2023-06-27,2023-07-10,130.45,146.5,0.1153,🟡 移動停利,9,155.5,146.55
2376,2023-06-27,2023-07-14,221.4,277.63,0.2454,🟡 移動停利,13,268.22,277.63
2610,2023-06-27,2023-07-14,25.39,23.87,-0.0662,🟡 移動停利,13,28.8,23.87
2618,2023-06-28,2023-07-14,35.29,33.56,-0.0553,🟡 移動停利,12,41.08,33.56
3017,2023-07-07,2023-07-17,265.74,272.61,0.0188,🟡 移動停利,6,316.23,272.61
2356,2023-06-27,2023-07-18,39.78,61.31,0.5306,⚪ 時間到期,15,47.6,52.49
2360,2023-06-27,2023-07-18,227.57,251.94,0.0995,⚪ 時間到期,15,267.08,243.79
3231,2023-06-29,2023-07-18,73.83,127.18,0.711,🟡 移動停利,13,89.37,127.18
2301,2023-06-29,2023-07-18,89.62,126.02,0.3966,🟡 移動停利,13,107.86,126.02
6285,2023-07-14,2023-07-19,107.79,103.73,-0.0443,🟡 移動停利,3,122.85,103.73
1519,2023-07-14,2023-07-19,151.52,159.76,0.0471,🟡 移動停利,3,176.6,160.06
3231,2023-07-18,2023-07-19,134.2,117.12,-0.1332,🔴 停損,1,161.52,117.12
2356,2023-07-18,2023-07-20,60.91,58.5,-0.046,🟡 移動停利,2,70.34,60.28
2383,2023-07-18,2023-07-21,302.83,283.59,-0.0699,🟡 移動停利,3,352.45,290.93
6285,2023-07-19,2023-07-21,107.34,96.36,-0.1084,🔴 停損,2,124.89,96.36
3035,2023-07-06,2023-07-25,241.98,359.49,0.4754,🟡 移動停利,13,278.49,364.55
2382,2023-07-10,2023-07-26,146.64,227.66,0.5419,🟡 移動停利,12,176.5,227.66
2368,2023-07-17,2023-07-26,173.1,167.88,-0.0368,🟡 移動停利,7,203.46,167.88
3035,2023-07-25,2023-07-27,359.85,309.51,-0.1458,🔴 停損,2,437.61,311.25
6669,2023-07-14,2023-07-28,1873.48,1887.61,0.0007,🟡 移動停利,10,2234.01,1887.61
2356,2023-07-20,2023-07-28,58.56,61.6,0.0447,🟡 移動停利,6,70.08,61.6
3231,2023-07-19,2023-07-31,129.95,134.25,0.0261,🟡 移動停利,8,159.1,134.25
2301,2023-07-18,2023-08-01,134.87,134.74,-0.0078,🟡 移動停利,10,161.5,139.58
1519,2023-07-19,2023-08-01,159.92,175.86,0.0922,🟡 移動停利,9,187.63,175.86
2382,2023-07-26,2023-08-01,231.3,212.58,-0.0872,🟡 移動停利,4,279.27,220.5
2356,2023-07-28,2023-08-01,64.09,58.5,-0.0934,🟡 移動停利,2,78.17,58.5
3231,2023-07-31,2023-08-01,150.26,124.15,-0.1794,🔴 停損,1,189.6,125.68
3706,2023-07-21,2023-08-02,39.84,39.09,-0.0253,🟡 移動停利,8,49.11,39.09
6669,2023-07-28,2023-08-02,1917.85,1594.63,-0.1742,🔴 停損,3,2435.0,1594.63
1519,2023-08-01,2023-08-02,200.66,175.4,-0.1318,🔴 停損,1,236.44,178.3
3044,2023-08-01,2023-08-02,158.38,142.58,-0.1059,🔴 停損,1,183.66,142.58
3035,2023-07-27,2023-08-04,309.82,263.85,-0.1542,🟡 移動停利,5,394.88,268.36
2383,2023-07-26,2023-08-10,339.79,384.9,0.125,🟡 移動停利,10,408.73,384.9
3044,2023-08-02,2023-08-10,149.58,156.75,0.0407,🟡 移動停利,5,177.11,156.75
6285,2023-07-21,2023-08-14,96.88,107.23,0.0993,⚪ 時間到期,15,115.98,100.29
3231,2023-08-01,2023-08-14,124.28,102.42,-0.1815,🟡 移動停利,8,165.85,102.42
2356,2023-08-01,2023-08-14,59.03,50.08,-0.1574,🟡 移動停利,8,75.13,50.69
1519,2023-08-02,2023-08-14,175.58,162.44,-0.0812,🟡 移動停利,7,216.38,162.44
3706,2023-08-02,2023-08-14,42.61,36.55,-0.148,🟡 移動停利,7,53.7,36.55
2382,2023-08-01,2023-08-23,212.8,242.16,0.1302,⚪ 時間到期,15,270.28,223.33
2301,2023-08-02,2023-08-24,138.91,137.55,-0.0165,⚪ 時間到期,15,181.52,113.19
